"incident_id","student_id","date_of_event","date_of_action","incident_type","action_taken","school_id","description"
"174","B9p2DhrI","2024-09-12","2024-09-13","bullying","parent conference","ajh","""Student was observed teasing others during lunch, making repeated inappropriate comments. Student showed defiance when confronted, refusing to make eye contact. Parent conference ordered to address behavior and impact on others."""
"175","QH6CZd5y","2024-09-13","2024-09-13","dress code","ISS","chs","Student's attire violated policy with excessive piercings, ripped jeans, and a shirt with inappropriate slogan. Despite warnings, student was defiant and argued during confrontation. ISS assigned for continued disrespect."
"176","uP0pDC7U","2024-09-13","2024-09-13","dress code","ISS","ajh","Student was in violation of dress code by wearing a hoodie with a large hood that obstructed their face, creating a safety concern. Student was also wearing slippers instead of appropriate shoes. Despite multiple warnings, student showed defiance and refused to comply, leading to the decision for ISS."
"177","tulf8Q6S","2024-09-13","2024-09-13","academic dishonesty","ISS","ajh","Student was caught copying answers during a math test. Despite being caught, they showed no remorse and even attempted to conceal their cheating by pretending to be looking for a different pencil. Their demeanor was nonchalant throughout the investigation."
"178","gViLZi8o","2024-09-12","2024-09-13","bullying","ISS","chs","Student engaged in repeated name-calling and intimidation towards another student during lunch, escalating to physical shoving. Showed no remorse and attempted to gather an audience during the incident. Displayed a defiant attitude when confronted."
"179","nyKGr31E","2024-09-13","2024-09-13","altercation","suspension","chs","Altercation in cafeteria during lunch, student was combative and refused to cooperate with staff. Punched a tray of food, causing a messy scene. Verbally aggressive towards peers and staff."
"180","ErVijBiJ","2024-09-13","2024-09-13","academic dishonesty","ISS","ajh","Student was caught copying answers during a math test. Despite being caught, student showed no remorse and attempted to justify their actions. This behavior is a serious violation of academic integrity and undermines the learning environment."
"181","g3VxFSZQ","2024-09-13","2024-09-13","theft","suspension","chs","Student was caught stealing multiple items from a teacher's desk during lunch break. Despite repeated warnings, they showed no remorse. The severity of this repeated theft requires immediate intervention."
"182","O0Ra0p9t","2024-09-13","2024-09-13","theft","suspension","bjh","Student displayed suspicious behavior after lunch, sneaking items into their bag from other students' belongings. The theft included money, electronic devices, and personal items. Student showed no remorse when confronted."
"183","tCY2rR5Z","2024-09-13","2024-09-13","altercation","suspension","ajh","After an altercation during lunch, student displayed aggressive behavior by throwing a lunch tray across the cafeteria. Other students quickly intervened to prevent escalation. Security was called to defuse the situation."
"184","EEM373FR","2024-09-13","2024-09-13","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article during a pop quiz. Initially denied wrongdoing, but admitted after evidence was presented. Started sweating profusely and tapping their foot rapidly during questioning."
"185","Yw6wiFHJ","2024-09-13","2024-09-13","dress code","warning","chs","Student was wearing a baseball cap after the morning bell. The hat had a large logo, in violation of dress code policy. Student seemed indifferent during the discussion about the violation. Reminder given about appropriate headgear."
"186","GewKcFl2","2024-09-13","2024-09-13","disruption","ISS","ajh","Student loudly played a trombone in the cafeteria during lunch, causing chaos. Ignored staff requests to stop and continued disrupting despite warnings. Finally stopped only after being escorted out."
"187","9dQcKxSt","2024-09-13","2024-09-13","altercation","suspension","ajh","Student engaged in a physical altercation in the cafeteria during lunchtime. Student showed aggressive behavior and refused to comply with staff instructions to stop. Security had to intervene to separate the students involved in the altercation."
"188","d2zpvYsS","2024-09-16","2024-09-16","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely and tapping their foot rapidly when confronted."
"189","MfAkGJAi","2024-09-16","2024-09-16","academic dishonesty","warning","chs","Student observed copying verbatim from note hidden in shoe during morning exam. Initially defiant, claiming innocence, but later confessed after note found during search. Severe breach of academic integrity, caught due to suspicious shuffling noises during test."
"190","5dpCEfmn","2024-09-16","2024-09-16","dress code","detention","chs","Student was in violation of dress code for wearing pajama pants and slippers. Despite multiple warnings, student was reluctant to comply with the policy, showing a defiant attitude throughout the interaction."
"191","PuwHsYes","2024-09-16","2024-09-16","altercation","detention","dhs","Description: Student engaged in a physical altercation in the cafeteria during lunchtime. Student displayed aggressive demeanor and utilized an unusual martial arts move during the scuffle. Detention is necessary to address this behavior."
"192","g13s9Pwr","2024-09-16","2024-09-16","dress code","detention","chs","Detention issued for dress code violation: Student wearing pajama pants in class, despite repeated warnings. Dress code clearly states no sleepwear allowed. Student was unapologetic and argumentative when confronted."
"193","84HM9Sug","2024-09-16","2024-09-16","dress code","warning","chs","Student was in violation of dress code for wearing pajama pants to school. Despite multiple warnings, student was defiant and uncooperative. The attire was extremely casual and inappropriate for the educational environment."
"194","1z8MNuT7","2024-09-16","2024-09-16","dress code","parent conference","chs","Student was in violation of dress code wearing pajama pants, a tank top, and flip-flops. Refused to comply with requests to change. Parent conference requested to address disrespect for school rules."
"195","n5PfngJ9","2024-09-16","2024-09-16","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history essay. Tried to pass off random edits as their work. Showed no remorse, even after shown proof. Refused to admit fault, claimed it was ""just a coincidence."""
"196","3uSSLLV4","2024-09-16","2024-09-16","theft","suspension","ajh","Student was observed taking items from multiple lockers during school hours. Student showed no remorse and attempted to conceal the stolen items under their jacket. The severity of the theft and their nonchalant demeanor warranted immediate action."
"197","fqrW1pA7","2024-09-16","2024-09-16","disruption","ISS","chs","Student was yelling profanities loudly in the cafeteria during lunch. Refused to follow staff instructions, stomping feet and slamming trays. Disruption lasted several minutes, causing a scene among peers and staff. ISS assigned due to severity of behavior."
"198","ZKFv6IjD","2024-09-16","2024-09-16","academic dishonesty","parent conference","ajh","Student was observed copying answers during a midterm exam. When confronted, they appeared nervous and evasive. The student's paper contained unique errors seemingly copied from a different student's paper. This behavior is concerning and requires parent conference to address."
"199","xiRP6g50","2024-09-17","2024-09-17","academic dishonesty","detention","bjh","Student was observed sneaking notes into their pencil case during an exam. When confronted, they attempted to dispose of the evidence by pretending to ""clean up."" Their demeanor was nervous and evasive. This incident of academic dishonesty is a serious violation of our school's code of conduct."
"200","IcCrpBvJ","2024-09-17","2024-09-17","altercation","suspension","chs","Altercation in cafeteria, student's aggressive demeanor caused disruption. Object thrown, resulting in minor injury. Necessary intervention by staff. Discipline deemed appropriate given severity and potential danger."
"201","IFPIO4Rs","2024-09-17","2024-09-17","dress code","warning","chs","Student received a warning for violating dress code during afternoon classes. Attire was extremely casual, including ripped jeans, revealing top, and flip-flops. Student was uncooperative when asked to address the issue."
"202","gMZP74ga","2024-09-16","2024-09-17","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe blog. Shifted nervously, avoided eye contact during questioning."
"203","GVmhqYG4","2024-09-17","2024-09-17","bullying","parent conference","chs","During lunch, student displayed aggressive behavior towards another student, calling names and making threats. Student showed no remorse and laughed at the other student's distress. Direct parent conference ordered to address behavior and consequences."
"204","2c6p5k0s","2024-09-17","2024-09-17","academic dishonesty","warning","ajh","During a surprise pop quiz, student was observed using a highly unusual method to cheat involving a small mirror hidden in their shoe. Student's demeanor appeared nervous but was cooperative during questioning."
"205","7M5exsOY","2024-09-17","2024-09-17","bullying","ISS","ajh","Student engaged in persistent verbal taunting during lunch, targeting another student's physical appearance. Showed defiance when confronted, only stopping when a teacher intervened. Displayed a lack of remorse or empathy."
"206","QHm3V2Nd","2024-09-17","2024-09-17","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history essay. Initially denied accusations, but admitted after evidence was presented. Showed no remorse or understanding of wrongdoing. Refused to apologize or accept responsibility. Insisted they didn't think it was a big deal."
"207","EGbZ7Gps","2024-09-17","2024-09-17","academic dishonesty","parent conference","ajh","Student was observed copying answers during a midterm exam. When confronted, they appeared nervous and avoided eye contact. This is a serious violation of academic integrity policies. Parent conference is necessary to address the situation."
"208","3QBXdMe2","2024-09-17","2024-09-17","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely and tapping their foot rapidly when confronted."
"209","dSLAxzgd","2024-09-17","2024-09-17","theft","suspension","chs","Student was caught stealing multiple packs of gum from the school store during lunchtime. Despite being confronted, student showed no remorse and even attempted to lie about the theft. Video footage clearly captures the incident."
"210","a5Wle6tW","2024-09-16","2024-09-17","academic dishonesty","suspension","ajh","Student was caught using a smartwatch to access answers during a math exam. Despite being reminded of the school's academic integrity policy, student attempted to conceal their actions but eventually confessed during questioning."
"211","siNJJKr4","2024-09-16","2024-09-17","academic dishonesty","suspension","ajh","Student was caught using a smartwatch during a test, accessing answers surreptitiously. Despite repeated warnings, student continued cheating. Displayed indifference and disbelief when confronted, claiming innocence despite overwhelming evidence."
"212","zY4VdYJ1","2024-09-18","2024-09-18","dress code","warning","dhs","Student's attire violated dress code by wearing flip-flops during morning assembly, showing a casual demeanor. Severe warning issued due to repeated reminders. Shoes must have a closed toe for safety reasons."
"213","sgF3FF0L","2024-09-18","2024-09-18","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history essay. Initially denied accusations, but admitted after evidence was presented. Showed no remorse or understanding of wrongdoing, even when faced with consequences. Suggested ISS for reflection on academic integrity."
"214","2DdYH8aN","2024-09-18","2024-09-18","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history essay. Initially denied wrongdoing, but later admitted under pressure. Showed no remorse, complained about unfairness of rules. Had printed out article with highlighted sections before committing the act."
"215","hEkxlwHA","2024-09-18","2024-09-18","dress code","warning","chs","Student was in violation of dress code for wearing bright purple cowboy boots during school hours. Despite warnings, student continued to wear them, claiming they were ""good luck."""
"216","2SLOlS5M","2024-09-18","2024-09-18","dress code","warning","chs","Student was wearing a bright purple hat with a large feather that obstructed vision. Demeanor was defiant when asked to remove hat. Dress code specifies hats must be school colors and not obstruct line of sight."
"217","iU2uSdRq","2024-09-18","2024-09-18","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely and tapping their foot rapidly when confronted."
"218","oG8vWur7","2024-09-18","2024-09-18","academic dishonesty","warning","ajh","Student was observed attempting to discreetly look at another student's answers during a morning math quiz. When confronted, student initially denied wrongdoing but later admitted and appeared remorseful. This is student's first offense concerning academic dishonesty."
"219","wNQx2502","2024-09-18","2024-09-18","theft","suspension","ajh","Student was observed stealing multiple items from several classmates' lockers during lunch. When confronted, student appeared nervous and defensive, claiming they were borrowing items without permission. Backpack contained various stolen goods, including a calculator, headphones, and a novel."
"220","FXQzjrkv","2024-09-19","2024-09-19","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely when confronted. Discovery made during peer review session, peer's paper surprisingly similar to student's."
"221","dslfbh4A","2024-09-19","2024-09-19","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely when confronted. Discovery made during peer review session."
"222","yQqAbKF6","2024-09-19","2024-09-19","bullying","warning","chs","Student was observed taunting other students during lunchtime, making fun of their clothing and calling them names. Showed no remorse when confronted, claiming it was ""just a joke."" Severe and persistent behavior, disrupting the cafeteria atmosphere."
"223","mTuwFrcT","2024-09-18","2024-09-19","academic dishonesty","warning","chs","Student observed copying verbatim from note hidden in shoe during history exam. Student showed defiance when confronted, insisting they were ""just stretching my legs."""
"224","Q9t08axI","2024-09-19","2024-09-19","academic dishonesty","parent conference","chs","Student caught plagiarizing material from an unknown source during English class. Student showed defiance, claiming innocence despite clear evidence. Parent conference ordered to address dishonesty and attitude towards academic integrity."
"225","1LImwZCe","2024-09-19","2024-09-19","dress code","warning","dhs","Student's attire violated dress code: Spaghetti straps paired with boxer shorts, mismatched socks. Displayed indifference when reminded of rules. Warned about appropriateness for school setting."
"226","nlL5sUg0","2024-09-19","2024-09-19","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claiming the dog ate their original work. Denies all wrongdoing despite overwhelming evidence. Assigned ISS for a blatant and unapologetic violation."
"227","KHky5Et0","2024-09-19","2024-09-19","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely and tapping their foot rapidly when confronted."
"228","rqXeEGxn","2024-09-19","2024-09-19","theft","parent conference","dhs","Student was caught stealing multiple items from the school store during lunchtime. Student initially denied but later admitted to the thefts. Student appeared nervous and fidgety during questioning. Parent conference ordered."
"229","PdMOnyER","2024-09-19","2024-09-19","academic dishonesty","detention","bjh","Student was observed sneaking notes into their pencil case during an exam. When confronted, they attempted to dispose of the evidence by pretending to sharpen their pencil. Student initially denied wrongdoing but eventually admitted to cheating."
"230","KWyPAZ19","2024-09-19","2024-09-19","altercation","parent conference","chs","During lunch, student engaged in a heated altercation in the cafeteria, demonstrating aggressive behavior and using inappropriate language. Student refused to comply with staff directives and caused a disruption. A parent conference is ordered to address this concerning behavior."
"231","tBfFzvDZ","2024-09-19","2024-09-19","academic dishonesty","detention","chs","Student caught plagiarizing a research paper. Showed no remorse, claiming the dog ate their original work. Detention assigned for after-school reflections."
"232","RLY0KutZ","2024-09-19","2024-09-19","academic dishonesty","parent conference","ajh","Student was observed copying answers during a midterm exam. When confronted, they appeared nervous and avoided eye contact. This is a serious violation of academic integrity policies that must be addressed with a parent conference."
"233","UR6IzUr1","2024-09-18","2024-09-19","dress code","ISS","bjh","Student's attire violated dress code: Spaghetti straps paired with ripped jeans, sneakers. Refused to comply when asked to cover shoulders. Attitude shifted from nonchalant to defensive during discussion. ISS assigned for disregard of policy."
"234","oq0w0xOC","2024-09-20","2024-09-20","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe for lasagna. Denied all charges despite overwhelming evidence. Blatant disregard for academic integrity."
"235","iGgV1c6H","2024-09-20","2024-09-20","academic dishonesty","ISS","ajh","Student was caught copying answers during a math test. Despite initial denial, confessed when presented with evidence. Student seemed nervous and fidgety during the conversation. Incident occurred around noon."
"236","2960JJ9e","2024-09-20","2024-09-20","dress code","warning","dhs","Student's attire violated dress code by wearing a bright orange hat with a large feather. Student seemed confused about the policy but was cooperative when informed. Warning issued to ensure future compliance."
"237","BdxEYcgc","2024-09-20","2024-09-20","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe blog. Shifted nervously in chair during questioning. Blatant disregard for academic integrity."
"238","aankJxhP","2024-09-20","2024-09-20","theft","parent conference","chs","Report describes student involved in theft incident after classes. Student tried hiding items in oversized backpack, showed defiance when apprehended. Stolen items included snacks, stationary, and a small potted plant. Parent conference ordered to address behavior and consequences."
"239","RMGgRhEf","2024-09-20","2024-09-20","bullying","suspension","chs","Student engaged in repeated name-calling and intimidation towards another student during lunchtime. Student showed no remorse and refused to acknowledge the impact of their actions. This behavior poses a serious threat to the safety and well-being of others."
"240","7GHQzZdF","2024-09-20","2024-09-20","altercation","ISS","chs","Altercation occurred during lunch hour in cafeteria. Student was loud and aggressive, threw food at another student. Refused to calm down despite staff intervention. ISS assigned."
"241","e3Nn4qzw","2024-09-20","2024-09-20","academic dishonesty","parent conference","ajh","Described student was observed cheating during a morning math exam by discreetly using notes written on their forearm. When confronted, student initially denied the accusation but eventually admitted to their actions with a noticeable lack of remorse."
"242","RO9IdMW9","2024-09-23","2024-09-23","academic dishonesty","detention","chs","Student observed copying verbatim material from hidden notes inside shoe during English midterm exam. Student showed defiance when confronted, claiming innocence despite clear evidence. Detention ordered for blatant dishonesty."
"243","r25y8YYW","2024-09-23","2024-09-23","theft","ISS","chs","Student was caught stealing multiple items from a teacher's desk during lunch break. Student showed no remorse and was caught on camera hiding the items in their bag before leaving the classroom."
"244","kAo9o5ls","2024-09-23","2024-09-23","dress code","warning","chs","Student was wearing a bright purple hat with a large feather that obstructed vision. Demeanor was defiant when asked to remove hat. Dress code specifies hats must be school colors and not obstruct line of sight."
"245","3OTiw8os","2024-09-23","2024-09-23","academic dishonesty","warning","chs","Student was caught plagiarizing material from an unknown source during a timed assessment in the morning. Showed defiance when confronted, claiming innocence despite clear evidence. A copy of the plagiarized content was found hidden underneath the desk afterwards."
"246","8VpBX5Iy","2024-09-23","2024-09-23","dress code","detention","ajh","Student was in violation of dress code by wearing flip-flops, a baseball cap, and a crop top with an inappropriate graphic. Student was defiant when approached and refused to rectify the clothing issue. Detention assigned for noncompliance and disruption."
"247","Y8kmKbWb","2024-09-23","2024-09-23","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history essay. Initially denied accusations, but later admitted after evidence presented. Started sweating profusely and tapping foot rapidly during questioning. Curiously, had multiple pens in pocket during search."
"248","IyPn5ehE","2024-09-23","2024-09-23","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe blog.-Requested to be excused for a ""bathroom break"" during a pop quiz."
"249","eHUIyNCq","2024-09-23","2024-09-23","bullying","detention","dhs","Description: Student engaged in repeated verbal intimidation and exclusion of classmates during lunch period. Student's demeanor was aggressive and disruptive, causing distress among peers. Detention assigned to address behavior."
"250","Dhb5wwz1","2024-09-23","2024-09-23","theft","ISS","chs","Student was caught stealing multiple items from a teacher's desk during lunch break. Student showed no remorse and was sneaky in their actions. This behavior is a severe violation and will not be tolerated."
"251","1USyX3eK","2024-09-23","2024-09-23","dress code","warning","dhs","Student's attire violated dress code: Spaghetti straps deemed inappropriate. Student initially defensive but complied after reminder of policy. Suggest a friendly reminder during homeroom about dress code requirements to prevent future issues."
"252","Ohgudw15","2024-09-23","2024-09-23","theft","parent conference","chs","Report describes student involved in theft incident after classes. Student was caught taking school property from the gym. Showed no remorse when confronted, claiming it was a ""joke."" Parent conference ordered."
"253","W0YtC6Et","2024-09-23","2024-09-23","academic dishonesty","suspension","ajh","Student was caught using a smartwatch during a test, attempting to discreetly access banned materials. Despite being reminded of school rules, student continued to use the device, showing a lack of concern for academic honesty."
"254","V3TZzISE","2024-09-24","2024-09-24","bullying","ISS","chs","Student engaged in persistent name-calling and intimidation towards another student during lunchtime. Student showed no remorse and refused to acknowledge the impact of their actions. This behavior is unacceptable and warrants disciplinary action."
"255","dvoHhsRH","2024-09-24","2024-09-24","dress code","ISS","ajh","Student was in violation of dress code by wearing a hoodie with a large, distracting graphic. Despite multiple warnings, student continued to wear the garment throughout the day and appeared defiant when approached. ISS is ordered to address noncompliance with dress code policy."
"256","6Ba73TqD","2024-09-24","2024-09-24","altercation","parent conference","ajh","""Student was involved in a physical altercation during lunchtime. Student's aggressive behavior was observed by multiple staff members. Student was seen throwing unusual items during the incident."""
"257","ymemxrMv","2024-09-23","2024-09-24","dress code","detention","chs","Student was in violation of dress code for wearing oversized pajama pants with cartoon characters, a crop top revealing midriff, and slippers during class. Student was defiant when approached and refused to rectify the clothing issue."
"258","pBStAoun","2024-09-23","2024-09-24","altercation","suspension","chs","Altercation occurred during lunch hour in cafeteria. Student displayed aggressive behavior, throwing milk cartons and using foul language. Spontaneous food fight ensued, resulting in chaos. Staff intervention required."
"259","RcGkzMgE","2024-09-24","2024-09-24","bullying","parent conference","chs","Student displayed aggressive behavior during lunch, targeting another student's physical appearance and belongings. Incident occurred in the cafeteria, causing distress to peers. Parent conference ordered to address behavior and consequences."
"260","Tft4CEir","2024-09-24","2024-09-24","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed work was original. Tried to defend by saying ""but everyone does it."" Severe breach of academic integrity. ISS assigned."
"261","mdVo4UC9","2024-09-24","2024-09-24","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely and tapping their foot rapidly when confronted."
"262","BMuNUb4p","2024-09-24","2024-09-24","academic dishonesty","ISS","ajh","Student was caught using a smartwatch to access answers during a math exam. Despite being remorseful, student initially denied any wrongdoing. Displayed nervous behavior during questioning, ultimately admitting to cheating."
"263","tT9rIVbU","2024-09-25","2024-09-25","altercation","ISS","chs","Altercation in cafeteria during lunch, student was combative and refused to cooperate with staff. Pots and pans were thrown, resulting in chaos. Student finally restrained by security."
"264","ESt28KaB","2024-09-25","2024-09-25","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history essay. Initially denied wrongdoing, but later admitted under pressure. Showed no remorse during confrontation. Used a unique font that stood out from the rest of the assignment."
"265","8TE4PWso","2024-09-25","2024-09-25","academic dishonesty","ISS","ajh","Student was caught copying answers during a math test. Despite initial denial, confessed when presented with evidence. Student seemed nervous and fidgety during the conversation. Multiple answers were identical, even down to misspellings."
"266","TfVR1UKy","2024-09-25","2024-09-25","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history essay during 3rd period. Showed no remorse, claimed ""everyone does it."" Unique twist: included footnotes and citations from a nonexistent source."
"267","3ufEd6p2","2024-09-25","2024-09-25","dress code","ISS","chs","Student's attire violated policy with excessive piercings, brightly dyed hair, and torn jeans. Showed defiance when confronted, arguing about personal expression. Requires ISS until correction is made."
"268","KT92eqrF","2024-09-25","2024-09-25","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed innocence despite overwhelming evidence. Spent more time crafting excuses than actual work. Assigned ISS for a clear and blatant violation of academic integrity."
"269","rNezGiGP","2024-09-24","2024-09-25","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed work was original. Tried to defend by saying ""but everyone does it."" Severe breach of academic integrity."
"270","nzcANtC6","2024-09-25","2024-09-25","academic dishonesty","detention","ajh","Student was caught copying answers during a math assessment. Despite initial denial, later admitted to cheating. Showed remorse during the disciplinary meeting but seemed surprised by consequences."
"271","0LVDIu42","2024-09-24","2024-09-25","academic dishonesty","detention","ajh","Student was caught attempting to cheat during a midterm exam by using hidden notes on their thigh. Despite being caught, student remained defiant and argumentative during the confrontation."
"272","GpDuE7QD","2024-09-25","2024-09-25","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely when confronted. Discovery made during peer review session, where multiple students recognized the work as copied."
"273","6lEw3CaT","2024-09-25","2024-09-25","theft","detention","chs","Student was caught stealing multiple packs of gum from the school store during lunchtime. They were observed acting nervously and fidgeting with their pockets before being confronted. The severity of the theft and their demeanor require detention."
"274","YLYf76qT","2024-09-26","2024-09-26","dress code","ISS","chs","Student's attire violated policy with excessive piercings, ripped jeans, and inappropriate slogans. Student showed defiance when confronted, leading to ISS. Religious symbols were also a concern."
"275","xzU2VMG0","2024-09-26","2024-09-26","dress code","parent conference","ajh","The student was found in violation of the dress code for wearing highly distracting oversized sunglasses indoors during school hours. The student's demeanor was defensive when reminded of the rule. Parent conference is warranted to address the importance of appropriate attire."
"276","7OtMKpfM","2024-09-26","2024-09-26","academic dishonesty","warning","ajh","During a math test, student was observed copying answers from a hidden note on their thigh. Despite being caught, student remained calm and denied any wrongdoing until evidence was provided. This is a warning to deter future incidents."
"277","Pv1ZsqdR","2024-09-26","2024-09-26","dress code","ISS","chs","Student's attire violated policy with excessive piercings, ripped jeans, and offensive graphics. Repeated warnings were ignored. Student was defiant and argumentative. ISS ordered until compliance is met."
"278","EEM373FR","2024-09-26","2024-09-26","dress code","detention","chs","Student was in violation of dress code for wearing pajama pants to school. Despite multiple warnings, student was defiant and uncooperative. Detention assigned for failure to comply with the school's policy on appropriate attire."
"279","DrFC3MpI","2024-09-26","2024-09-26","theft","parent conference","chs","Student was caught stealing various items from a classroom during lunch. Student appeared nervously fidgety when confronted and returned the stolen items. Items included a textbook, calculator, and a pack of sticky notes. Parents to be notified for a conference."
"280","YNSjRdIg","2024-09-26","2024-09-26","bullying","suspension","chs","Student engaged in repeated name-calling and intimidation towards another student during lunchtime. Student showed no remorse and refused to acknowledge the severity of their actions. Reports indicate this behavior has been ongoing for weeks."
"281","Xonc3vpL","2024-09-26","2024-09-26","altercation","suspension","ajh","Afternoon cafeteria altercation involving student. Verbal exchange escalated to physical confrontation, causing disruption. Despite staff intervention, student remained aggressive. This behavior is a concern for the safety and well-being of others."
"282","ciaNuH5Y","2024-09-26","2024-09-26","altercation","suspension","chs","Altercation occurred during lunch hour in cafeteria. Student displayed aggressive behavior, throwing milk cartons and using foul language. Spontaneous laughter from nearby students added chaos to the situation."
"283","jM6pnGFt","2024-09-27","2024-09-27","academic dishonesty","detention","chs","Student caught plagiarizing an online article for a history essay. Initially denied wrongdoing, but later admitted. Showed defiance towards consequences during meeting, claiming ignorance of academic integrity policies despite previous reminders. Detention assigned for next week."
"284","xum0jUgx","2024-09-27","2024-09-27","altercation","ISS","dhs","Description: Student engaged in a physical altercation in the cafeteria during lunchtime. Student displayed aggressive demeanor and caused a disruption. Incident involved throwing a lunch tray."
"285","fx0lK3s0","2024-09-27","2024-09-27","dress code","parent conference","chs","Student was in violation of dress code wearing oversized hoodie with offensive language, ripped jeans, and unkempt appearance. Refused to comply with staff's instructions. Parent conference required to address behavior and ensure future compliance."
"286","Dz6BtDDl","2024-09-27","2024-09-27","dress code","warning","bjh","Student's attire violated dress code by wearing a bright orange hat with a large brim that obstructed vision during class. Student appeared nonchalant when reminded to remove hat, causing disruption. Warning issued to prevent future incidents."
"287","bFnazUcz","2024-09-27","2024-09-27","academic dishonesty","parent conference","chs","Student caught plagiarizing material from an unknown source during English essay assessment. Student was sneaky, trying to conceal cheat sheet under desk during test. Parent conference required to address dishonest behavior and ensure academic integrity moving forward."
"288","Ij3JIFvB","2024-09-27","2024-09-27","altercation","ISS","ajh","Student engaged in a physical altercation in the cafeteria during lunchtime. Student was highly agitated and used inappropriate language. This behavior is unacceptable and warrants a consequence to uphold our school's standards of respect and safety."
"289","YXSsz4we","2024-09-27","2024-09-27","academic dishonesty","detention","ajh","Student was caught copying answers during a math assessment. Despite initial denial, later admitted to cheating. Showed remorse during the disciplinary meeting but seemed surprised by consequences."
"290","tpu4A3RM","2024-09-27","2024-09-27","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history essay. Initially denied accusations, but later admitted. Demeanor was defiant during confrontation, but showed remorse after consequences were discussed."
"291","imPUXaOn","2024-09-27","2024-09-27","altercation","parent conference","chs","During lunch, student engaged in a heated altercation in the cafeteria, demonstrating aggressive behavior and using inappropriate language. Student threw a plastic spork across the room, causing chaos. Per school policy, parent conference is required to address student's conduct."
"292","bTXoJPjk","2024-09-27","2024-09-27","dress code","parent conference","chs","Student was in violation of dress code wearing pajama pants, a tank top, and flip-flops. Refused to comply with requests to change. Parent conference requested to address disrespect for school rules."
"293","jl72cuuZ","2024-09-27","2024-09-27","bullying","ISS","ajh","Student engaged in persistent verbal bullying towards a peer during lunch, using threatening language and intimidating gestures. Student showed a lack of remorse and continued their behavior even after being warned by staff. ISS is necessary to address this concerning conduct."
"294","6pmkDSIF","2024-09-27","2024-09-27","academic dishonesty","suspension","ajh","Student was caught using a smartwatch during a test, accessing answers surreptitiously. Despite repeated warnings, student continued cheating. Displayed nervous behavior when confronted, initially denying wrongdoing before admitting to the offense."
"295","I26fq0K0","2024-09-27","2024-09-27","academic dishonesty","suspension","chs","Student caught plagiarizing a research paper. Showed no remorse, even after proof was presented. Spent more time making excuses than admitting fault. Suspected of similar behavior in the past."
"296","wa9hU7AB","2024-09-27","2024-09-27","theft","suspension","chs","Student was caught stealing multiple items from a teacher's desk during lunch break. Despite repeated warnings, they showed no remorse. The severity of the theft and lack of cooperation warranted a suspension."
"297","fA2eedtF","2024-09-27","2024-09-27","disruption","suspension","chs","Student disrupted class by loudly playing the clarinet during a math lesson. Ignored repeated warnings and continued to play ""Row, Row, Row Your Boat"" out of tune. Displayed a defiant attitude when confronted, causing significant disruption to the learning environment."
"298","4GDHsAAD","2024-09-27","2024-09-27","academic dishonesty","ISS","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely and tapping their foot rapidly when confronted."
