"Description","Specialties","Industries","Ownership"
"QeyMetrics is a cloud-based data analytics and performance reporting tool that lets business users visualize what is happening anywhere in its business, on demand, through role-based, interactive dashboard views in a browser. It is the most cost-effective performance reporting and BI software solution for business users available today.","Analytics, Performance Management, Business Intelligence, Dashboarding, Agent Scorecarding","Information Services","Private Sub"
"Waibi Dashboard is a SaaS platform for chartered accountants, which allows the creation of graphical and dynamic dashboards, from management data (via API or FEC integration). It creates a dashboard in a few clicks and support the customers in managing the business.","Dashboard, Accounting, Business Intelligence, SaaS, Data restitution, Budget, Simulated loads, Projection, Third-party data, Job smoothing, Management consulting, Support, Personalization","Internet, Computer Software, Information Technology & Services","Private"
"Infometry, Inc. is a world-class technology and management consulting provider focused on delivering solutions for data warehouse implementations, enterprise performance management (EPM), business intelligence (BI), big data analytics, predictive analytics, and enterprise search and text analytics. The company helps clients in formalizing the Business Intelligence Strategy, and Roadmap and facilitates in identifying the Key Performance Indicators (KPIs) for each business unit.","Data Architecture, Program Management, SAP-Business Objects, SAP-BW, Oracle OBIEE, Hyperion, MicroStrategy, MDM, Data Quality, Informatica, Pentaho, Talend, QlikView, Microsoft BI, Open Source BI, InfoFiscus is a pre-built Cloud-based, highly scalable, self-service analytics solution developed using Snowflake, RedShift, Informatica Cloud, Tableau, Qlik, PowerBI etc integrating across Salesforce, Microsoft Dynamics, NetSuite, Marketo, Oracle ERP, SAP","Information Services","Private"
"Syscraft, Ltd. offers solutions and services to compliment organizations digital transformation. The company specializes in software services, digital transformation, contact center, document management, business process management, enterprise resource planning, customer relationship management.","software services, digital transformation, contact center, document management, business process management, enterprise resource planning, customer relationship management","Information Technology & Services, Computer Software, Internet","Private"
"Aceva Technologies, Inc. is a company that provides enterprise application software solutions for revenue and receivables management. It offers a suite of enterprise application software solutions, including a business analytics dashboard, transaction reconciliation, and collections management solutions for credit management, order quality, dispute prevention, inventory transaction reconciliation, deductions management, collections management, electronic invoice presentation, payment, and cash forecasting.","Computer Software, Analytics, Enterprise Applications, Enterprise Software, Wellness, Fitness Services","Information Technology & Services, Computer Software","Public Sub"
"BITAM de Mexico SA de C.V. is a software company, that provides enterprise performance management solutions for business intelligence, financial planning, and strategic planning. The company offers Artus, an integrated business intelligence platform that provides organizations with access to the information and needs for making business decisions; Ektos Financial Planning, which is used in budgeting, forecasting, and consolidation process; and Stratego, an integrated strategic planning suite that provides organizations the ability to measure its enterprise performance against corporate goals and objectives.","Business Intelligence, Financial Planning, Strategic Planning, Corporate Performance Management, Mobile Solutions, Workflow Automation, Social and collaboration","Information Technology & Services","Private"
"Amindis S.A. is an asset management, insurance software, and services company with consulting, facility management, and technical support services. Its principal product is the global portfolio management system with portfolio performance and risk measurement, attribution, and portfolio accounting modules that provides full front-to-back office support for asset managers. The company manufactures and sells innovative software for the fund management industry.","Portfolio Management System, Enterprise Risk Management, Solvency II, Portfolio Accounting, Portfolio Analytics, ESG, GIPS, Portfolio Reporting, NAV calculation, Performance Attribution, ESG Attribution, Performance, Risk Analytics","Computer Software","Private Sub"
"Quik Point Analytics, LLC doing business as Quantum EPM is one of the leading full-service enterprise performance management, business intelligence, and business analytics consulting firms. The firm consistently delivers success for clients across a variety of industries, leveraging the leading Oracle Hyperion platform's robust portfolio of applications.","Business Intelligence, Enterprise Performance Management, Business Analytics, Project Management, Implementation Consulting, Process Optimization, Planning and Forecasting, Rolling Forecasting, Reporting, Financial Reporting and Consolidation","Information Services, Information Technology & Services","Private"
"3terra, Inc. is a growing healthcare analytics company focused on providing better patient care. Its software is used by over 40 Ontario hospitals to help analyze operational and financial data in order to optimize hospital efficiency and improve clinical data quality. It offers a software platform, Data Quality Assist, which helps hospitals address key issues pertaining to funding (HBAM/QBPs), performance management, and patient cost analysis/benchmarking.","Performance Management, Balanced Scorecards, Business Intelligence, Datawarehousing, Analytics, Healthcare","Information Services, Internet","Private"
"ProcessUnity, Inc. is a privately-held risk management software solutions company. It provides companies with the visibility and control needed to assess, measure, and mitigate risk and to ensure the optimal performance of key business processes.","third-party risk management, governance, risk and compliance, sarbanes-oxley compliance, policy and procedure management, enterprise risk management, regulatory compliance management, incident management, cybersecurity program management, cybersecurity, vendor risk management, vendor risk management software, third party risk management software, GRC solution, third party risk reporting, third party risk management automation, third party cyber risk, risk management, risk reporting, vendor onboarding, due diligence, ongoing monitoring, automated assessments","Computer Software","Private Equity"
"Seneca Business Software GmbH doing business as Seneca Controlling Software develops and delivers software-as-a-service controlling and business management tools for small, large, and medium-sized companies. It offers editions that provide professional rating factors, such as key figure analyses, comprehensive reporting, transparent budgets, and online forecasting processes. The company's solution includes SENECA local, an entry solution for start-ups, small companies, or management consultants; SENECA global, a solution for the requirements of SMEs and medium-sized consulting firms; and SENECA galaxy, a solution for enterprises and major consulting firms, which allows the user to benefit from controlling functions in the private and public cloud.","Controlling, Management Accounting, Business Intelligence, Financial Planning, Reporting, Analysis, Simulation, Company Valuation, Rating, Data Consolidation, Cost Accounting, Business Planning, KPI, Enterprise Performance Management, Forecasting","Computer Software","Private"
"Optergy Pty., Ltd. is a technology company that focuses on the business of managing buildings, facilities, and enterprises with tools to improve efficiency, performance, and processes, whilst providing key stakeholders with the information and reporting to make strategic decisions. It is software that provides a web-based, real-time scalable solution. It serves within the area.","Energy Management, Building Automation, Lighting Control, BACnet, Modbus, Integrated Solutions, Utility Metering, Utility Billing, Building Performance, Dashboards, Demand Limiting, Asset Management, Small Building Management, Enterprise Building Management","Computer Software","Private Sub"
"iRely, LLC is a premier, global provider of business software. The company offers to trade, a software solution that provides a live scorecard for commodity traders, exporters, and importers, makes, a solution for manufacturers to enhance the visibility of manufacturing processes. Its solutions help companies manage core business processes with a single, fully integrated system covering CRM, sales, financials,  risk management, operations, and customer support.","Processors, Commodity Traders, Grain Terminals and Elevators, Food Manufacturers, Merchandisers, Biofuel Manufacturers, Agribusiness and Petroleum Cooperatives, Petroleum Distributors, Feed Manufacturers, Convenience Stores, Dairy Producers, Software Companies","Computer Software","Private"
"Trimlogic Sp. z o.o. provides Enterprise Content Management &  Business Process Management professional services. It specializes in Enterprise Content Management, Business Process Management, and Case Management.","Enterprise Content Management, Business Process Management, Case Management","Information Technology & Services, Computer Software, Internet, Information Services","Private"
"Sobha Renaissance Information Technology Pvt., Ltd. (SRIT) provides Software Solutions for Healthcare, Government, Healthcare, and Professional Service organizations. It offers SRIT Enterprise Product Suite that consists of financial and accounting management, budgeting and planning, supply and procurement, fixed asset management, electronic document storage and retrieval, consumer relationship management (CRM) and enterprise asset management, and human capital management solutions.","IT Services, Off-shore Development, Healthcare Software Solutions, Enterprise Resource Planning, Customer Relationship Management, Medical Transcription, e-Governance, Telecom","Computer Software, Information Technology & Services, Internet","Private"
"Uppercase HR, Inc. is an agile performance management software. It provides a framework for agile goal-setting and frequent feedback cycles.","Performance Management, Goal Setting, Employee Engagement","Computer Software, Internet","Venture Capital"
"TechnologyOne, Ltd. is a publicly listed software company that provides deep functionality for the market. It develops, markets, sells, and supports integrated enterprise business software solutions. The company operates through sales and marketing, consulting, research and development, cloud, and corporate segments.","Enterprise software as a service, Information technology, Financial management software, Supply Chain, Asset Management, Human Resources, Payroll, Business Intelligence, Property, Rating, Student Management, Enterprise Content Management, Enterprise software","Internet, Computer Software","Public"
"319 Partners is a professional service firm, specializing in SAP solution integration and business process optimization. The company offers intelligent automation, EPM, financial analytics, and performance management services.","SAP Functional Business and Services Consulting, S/4HANA, Business Intelligence and Analytics, SuccessFactors, Hybris, Cloud Soutions, GRC, Winshuttle, Ariba, BusinessObjects BI and Lumira, Application Management Services. Celonis, Blue Prism, Abbyy, Clevva, Microsoft – ML/NLP, Microsoft – Virtual Agents, Microsoft Azure","Information Technology & Services","Private"
"Septeo Ple Immobilier (SPI) is a software solutions provider for real estate professionals. As a major player in the digital transformation of real estate professionals, the company offers a complete software suite for each of the businesses. It offers ""La Suite SPI"", the first software suite covering rental management, property management, transactions, and seasonal rentals.","Management Software, Transaction Software, Trustee Management Software, Seasonal Rental Management Software, Real Estate Software Publisher, Real Estate, Property Administrator, Rental Management, Trustee, Seasonal Rental, Transaction","Computer Software, Internet","Venture Capital"
"ALCiE Integrated Solutions, Inc. is a developer of business applications software, and the provider of ERP and Business Management Solutions for small, medium and large organizations. The company provides unified family enterprises, management Software suites, analytics, automated reports, performance, and compliance solutions, and related business, and data solutions.","Erp, Business Solutions, Developers, IT Consulting, IT Software, Distribution Erp, Information Technology, Erp Systems","Information Technology & Services","Private"
"PureShare, Inc., provides end-to-end metrics management solutions that deliver consolidated views of I and O performance from data worldwide. The company develops software-based proactive management tools that eliminate the need for reports, manual spreadsheets, and slide-ware.","Performance metrics, Call center metrics, Performance measurement, IT Optimization, IT Metrics, Business metrics, IT metrics dashboard, IT Business Dashboard, Real-Time IT, ITSM Metrics, ITIL Service Management, metrics management, SAAS ITSM, operations metrics","Information Technology & Services, Computer Software, Information Services, Internet","Private Sub"
"Syntellis Performance Solutions, LLC provides innovative enterprise performance management software, and data and analytics solutions. It offers services such as operating budgeting software, healthcare cost accounting, financial performance management, capital planning and tracking, healthcare financial software, visual analytics and dashboards, financial software, planning software, financial solutions, business analytics, revenue planning, and many more.","Budgeting, Planning and Forecasting, Cost Allocation and Profitability Analysis, Financial Reporting and Analysis, Healthcare Cost Reduction, Corporate Performance Management (CPM), Budgeting Software, Business Planning, Workforce Planning, Functional Planning, Operational Planning","Information Services","Venture Capital"
"Skefto is a Software solution enabling organizational strategy through simple, integrated, actionable, and measurable planning. It enables a new way to manage organizational strategy through a simple and collaborative platform. It allows organizations to define the objectives, actions, and metrics used to manage business performance and breaks down strategic plans into operational plans, enabling a clear line of sight with complete vertical and horizontal integration.","software solutions, planning, kpis, strategy, kpi, performance, business strategy software, kpi dashboard, strategic planning software, planning software, kpi software","Computer Software","Private"
"HR Performance Solutions, LLC is a human resource software and consulting business that offers industry-leading performance management and salary administration applications. The company provides enterprise-level human resource solutions and consulting services to small to medium-sized organizations designed to simplify and improve employee performance, professional growth, and development, compensation administration, HR policy, and procedure compliance.","HR Consulting, Performance Management, Compensation Administration, HR software, Salary Survey, Executive Compensation, Succession Planning, Performance Pro, Compease, performance appraisals, compensation management software, Human Resources, merit planning, goal management, bonus payout automation, employee engagement, PayEquity","Information Technology & Services, Computer Software","Private Sub"
"Bi Consulting Group, LLC (BICG) provides Oracle business intelligence (BI) and enterprise performance management (EPM) solutions. It offers consulting, implementation, support, education and software enhancement services. The company also provides BICG IMPACT, a service offering for Oracle business intelligence enterprise edition (OBIEE) that enables the user to gain insight about OBIEE deployment using OBIEE itself, and BICG Identity, a branding and customization service for OBIEE deployments.","bi publisher, drm, essbase, hfm, hyperion, hyperion planning, itservices, obiee, obiee 11g, oracle bi, oracle bi applications, oracle business intelligence","Information Technology & Services","Public Sub"
"Cloud Wadi operates a software that provides a cloud management infrastructure for project management and business development. It offers business management software for thousands of customers, including ERP/Financials, CRM and the customer's special business operations with real-time dashboards, reports and workflow management.","Software Development","Internet, Computer Software","Private"
"Metrixware Systemobjects SAS operates as a software editor of information technology governance and application portfolio management solutions. It provides system code, a software suite that enables the analysis of application assets in order to develop an inventory to measure the quality and performance of applications for improving them and supplying information technology decision-makers with the dashboards necessary to anticipate project drift, manage risks, and control the evolution of applications in the face of business, technical, human, and financial challenges.","COBOL IDE, Software (code, architecture) Reengineering, Software Factory, SOA Integration, Modernization, architecture) Audits, IBM, mainframe, productivity, connectivity, Software Solutions, AS 400, governance application","Computer Software","Venture Capital"
"ICORecord provides a dashboard solution for business tokenization and fundraising. The company offers a dashboard to businesses that raise funding and create a community using virtual platforms by integrating tokenizing its ecosystem. The dashboard features include data source integrations, data visualization, functions, calculations, KPI monitoring, scorecards, and widgets. It serves people around Ukraine.","Software Development","Internet","Private"
"Punchcard Systems, Inc. delivers technology and software for enterprise and mid-market businesses. The company team is focused on delivering technology and software for enterprise and mid-market businesses, with expertise in mobile apps, data and dashboards, systems integration, and the internet of things solutions.","Web Development, Custom Mobile Apps, Internet of Things, Employee and Customer Portals, SharePoint, Web Applications, Data Science, Machine Learning, Database Development, RPA, Digital Workplace, Marketing Technology","Computer Software","Private"
"Blue Line Planning, Inc. is a software development company. It provides financial and operational performance management solutions. The company designs, implements, and deploys performance management systems and implements planning, financial consolidation, business intelligence, and data warehouse solutions for organizations and hospitals.","Corpoorate Performance Management, Financial Performance Management, Budgeting, Planning, forecasting, Healthcare Budgeting, IT Chargeback, Compliance, Performance Management, Financial Consolidation, Business Intelligence, Data Warehouse","Computer Software","Private"
"Shared Performance, LLC provides software products for individual performance improvement. It offers SP Attain, a software solution with an interface and the ability to link content and data to better manage outcomes across functional silos.","Enterprise Outcome Management, Software Solutions, Performance Management, Intra-Enterprise Software, EOM, Consulting Services","Information Technology & Services, Computer Software","Venture Capital"
"Pensemos S.A. provides innovative solutions for the execution of strategy. It visualizes where to focus the company's efforts, facilitates decision-making and communication at all levels of the strategy through the automation of the Balanced Scorecard model, which together with the management of risks and quality","advanced analytics, balanced scorecard, business intelligence, consulting, operational reliability, quality management systems, strategic performance management, business consulting","Management Consulting","Private"
"Quistor Enterprises B.V. is a software company that specializes in providing oracle add-ons software products. The company provides IT consultancy to over 250 plus Cloud, JD Edwards, Business Intelligence, and managed services.","JDEdwards, Technical Support, Functional Support, JDE Development, Database management, Cloud Services, Enterprise, Software, Applications, Database, Business Intelligence, ERP","Computer Software, Internet","Private"
"Infoera Software is a software company.  It provides solutions to Businesses in Digital Tax, Financial Reporting Solutions, GRC, Digital Transformation, and Enterprise Portal areas. It serves clients throughout Turkey.","software development, business intelligence, portfolio planning, digital transformation, digital tax solutions, grc solutions","Computer Software","Private"
"Concord Communications, Inc. develops business service management software solutions for enterprise customers, managed service providers, and telecommunication carriers worldwide. It offers software solutions under the eHealth, Spectrum, Vitel IVIZE, and netViz names. Its eHealth Suite, a Web-based management software, maps information technology services to business needs and manages application, system, and network infrastructures.","a web-based management software, manages application, netviz names. ehealth suite, network infrastructures, ffers software solutions under the ehealth, maps information technology services to business needs, spectrum, system, vitel ivize","Computer Software","Public Sub"
"Skehana Systems, LLC focuses on the implementation and maintenance of enterprise performance management. it is a global provider of enterprise performance management implementation resources, onshore help desk experts, pm vendor assessments, and cloud hosting services. its resources have serviced more than 1000 epm clients worldwide by combining top epm talent with low overhead or zero sales commissions.","Hyperion Financial Management, Hyperion Planning, Hyperion Essbase, Hyperion Enterprise, Hyperion Reporting, Financial Data Quality Management, Oracle Data Integrator, Tagetik, Project Management, IT, Infrastructure, OneStream, Salesforce, Vena, Planful, Prophix, Enterprise Content Management, BPM, EPM, CPM, Resource Availability, OneStream software","Information Technology & Services, Information Services","Private"
"Aras Corp. develops and provides product lifecycle management solutions to businesses worldwide. The firm offers product data management solutions that enable users to manage cad data, parts, and documents and a platform to customize, extend and build applications. It specializes in product data management, project execution management, ppm, resource management, technical documentation, tech services, enterprise software, network solutions, enterprise software, and network solutions.","BOM Management, Document Management, Engineering Change, 3D or 2D Visualization, PDM Multi-CAD Data Management, Project Portfolio Management, Program Dashboards, Requirements Management, Failure Mode, Effects Analysis (FMEA), Advanced Product Quality Planning (APQP), PLM, Product Lifecycle Management, PDM, CAD Management, Enhanced Project Management, Business of Engineering, Engineering Requirements, MBOM, QMS, Quality Management Systems, Manufacturing Process Planning, Manufacturing Change, Product Data Management, Project Execution Management, PPM, Resource Management, Technical Documentation","Computer Software, Information Technology & Services","Venture Capital"
"Acodat GmbH is a business software solution. The company has been the reference point in South Tyrol for Enterprise Resource Planning and Enterprise Content Management and offers a suitable solution for the company. It specializes in SAP Business One, ERP software, business software, mobile solutions, BI applications, document management, system assistance, ELO, and CMS.","SAP Business One, ERP software, business software, mobile solutions, BI applications, document management, system assistance, ELO, CMS","Computer Software, Internet","Private"
"BindView Development Corp. develops, markets, and supports a suite of systems management software products. The company provides software solutions for systems administration, security management, enterprise inventory, and computer hardware.","Enterprise Software, Information Technology, Network Security, Security, Software","Computer Software","Public Sub"
"ARGOS LABS, Inc. is a world leader in providing endpoint digital business performance management tools. It offers an enterprise-grade solution for all-size businesses for process automation and for integration of AI or ML solutions from around the world.","Performance Management, Functionality Testing, Digital Business Quality Assurance, Business Process Automation","Information Technology & Services, Computer Software","Venture Capital"
"RG5, LLC doing business as Robbins-Gioia, LLC (RG) is the premier task management solutions software development company. The Company offers program planning and implementation, enterprise architecture and analysis, operations performance optimization, intelligence-based cyber security, performance management, and systems engineering solutions. It provides consulting services and advanced scheduling solutions. It serves and operates in the United States.","Product Planning and Control, Innovation Methodology, Systems Modernization, Enterprise Delivery, Business Analysis and Requirements, Jaguar Family of Advanced Scheduling Tools (JFAST), Maintenance, Repair and Overhaul (MRO), Enterprise Program Management","Computer Software","Private Equity"
"PerformanceSoft, Ltd. operates a market-leading strategy execution and performance management software that allows companies of all sizes to achieve optimum results by enabling effective alignment of people, budgets, initiatives, and activities to the organization's strategy and objectives. The company's platform makes it easier for companies to create actionable initiatives that support objectives.","Performance Management Software, Balanced Scorecard, Performance Improvement Software, Strategy Execution Software, Employee Alignment Software, Enterprise Performance Management Software, Employees Productivity Improvement Software, Software Development","Computer Software, Internet","Private"
"Smartcockpit SA is a cutting-edge business management software that assists companies in managing business decisions. It is able to focus on urgent, important, and strategic matters impacting the company. The company provides information that is easy to understand, share and manage.","performance, productivity, scorecard, dashboard, business intelligence, risk, change management, continuous improvement, KPI, lean management, governance, quality, compliance, risk management, cockpit, executive, action plan","Information Technology & Services, Information Services","Private"
"75Bit, Inc. offers software development, software, cloud, software solutions, infrastructure solution, development, mobile apps, CRM, EPM, PMO, and learning management systems. It helps startups, entrepreneurs, and businesses around the world to take advantage of its technical expertise in product design and software development.","Software Development, Software, Cloud, Software Solutions, Infrastructure Solution, Development, Mobile Apps, Crm, Epm, Pmo, Learning Management Systems","Computer Software, Information Technology & Services","Private"
"Strategy Focused Business Solutions, Inc. doing business as StrategyShare a specialty consulting firm with a proven track record of providing effective strategic planning and strategy mapping, performance measurement and management and balanced scorecard, accountability, and governance framework, and organizational development solutions and consulting services to organizations, strategic business units, and teams in all business sectors.","strategy management, strategy implementation, project management, strategy maps, KPIs, results reporting, scorecards, learning and improvement, knowledge sharing, organizational alignment, accountability and ownership, employee engagement, employee collaboration","Management Consulting","Private"
"Actico GmbH is an international provider of software solutions and technologies for decision management. The company offers a solution for enterprise applications, including process, rules, and device management, as well as for projects in the internet of things: business process management, a software solution for improving the efficiency of business processes and operations; and business rules management, a solution that enables clients to organize business logic by grouping decision paths and business rules.","Credit Risk Management, Loan Origination, Compliance, Decision Management, Business Rules Management, Rules Engine, Compliance Management, Fraud Management, Process automation, Intelligent Automation, Digital Decisioning, AML Software","Computer Software","Private Equity"
"Namtra Business Solutions, Inc.,  provides information security, business process management, and software development services to corporate and government organizations. The company offers business process management services, including strategic roadmap planning, current/future state process mapping, enterprise value stream mapping and analysis, balanced scorecard development, business process compliance implementation, and business process performance measurement. It also provides development and consulting services, such as enterprise portal development, application development, database management, Microsoft platform services, e-commerce applications, ERP/CRM implementation, enterprise solutions, and sub-contracting and IT talent recruitment.","computer software, fitness, healthbeauty, healthbeauty&fitness","Information Services, Information Technology & Services","Private Sub"
"Accelytics, Inc. is a consulting firm that offers supply chain management, finance, sales performance, and retail planning services. The company focuses exclusively on delivering EPM, BI, and cloud solutions by leveraging cutting-edge Oracle Hyperion products. It provides EPM, BI blueprint, infrastructure, implementation, training, and managed services.","Enterprise Performance Management, Anaplan, Process Optimization, Supply Chain, FP and A, Supply Chain Planning, Demand Planning, S and OP, SPM, Incentive Compensation, Territory, Quota, Retail Planning, Finance, Workforce Planning, SCM, Supply Chain Management","Management Consulting","Private"
"EdexCloud, LLC is a software development company for the healthcare industry. It offers software and services for enterprise-wide business process improvement and compliance management, providing the comprehensive application suite to empower organizations to increase business performance at all levels and to maximize industry-mandated compliance and corporate governance programs.","Healthcare, DIR Edex California, Litigation Case Management, Software Development, Software Consultency, Software Integration, Big Data, Business Intelligence, Payers Integration, Software Outsourcing, SEO, Website Design and Maintenance, Medical Billing and Coding","Information Technology & Services, Computer Software","Private"
"abas Software GmbH develops and distributes enterprise resource planning (ERP) and business software solutions for midsize companies. It offers abas business suite, a solution that helps enterprises to optimize business processes, including purchasing and sales, materials management, production planning, production, accounting, portal, and eBusiness.","Global ERP Solution, Global ERP implementations, Local expertise, Global expertise, software, computerhardware, logistics, supplychain","Computer Software","Private Sub"
"Ecteon, Inc. provides a range of contract management software services. The company offers contraxx enterprise to create, capture, manage, and analyze agreements; and contraxx team for mid-market businesses or large companies that need departmental contact management.","Contract lifecycle management, browser-based contract software, risk management strategies, industry-compliant contract software, contract approval, e-signature capabilities, enterprise contract management","Information Technology & Services, Internet, Computer Software","Private Sub"
"Smart Enterprise Solutions GmbH is a software manufacturer specializing in projects. It offers an enterprise project and portfolio management solution with unique integration with SAP that covers almost all areas of project management.","Software Development, Enterprise Portfolio, Project Management Software, Saas, Cloud Software, Microsoft Azure","Computer Software","Private Sub"
"SBS Solutions, LLC doing business as The Consignment Shop is a software development specializing in providing software for managing small and midsize consignment businesses. The company offers a suite of tools that includes point of sale, e-commerce, inventory, and customer management.","Software, E-commerce, Inventory, Customer Management","Computer Software, Internet","Private"
"Baker Hill Solutions, LLC develops and delivers banking process software solutions to address the business process needs of financial institutions. The company's product includes Baker Hill Advisor, a business process solution to manage, enhance, and redefine client relationships by integrating sales management, client profitability, and portfolio management.","Commercial Lending, Portfolio Risk Management, Small Business and Consumer Lending, Profitability Risk Management, Marketing Analytics, Business Intelligence, Financial Statement Analysis","Computer Software, Information Technology & Services, Internet","Private Equity"
"pmOne AG is an information technology company. It provides business intelligence (BI) and corporate performance management solutions. The company provides Microsoft BI-technology solutions, including reporting, analysis, data mining, dashboarding, portals, and metadata management components; and finance and controlling products, such as Tagetik 3.0, a Web-based and cross-platform CPM solution for BI applications, enterprise planning, consolidation, financial governance, risk, and compliance.","Business Intelligence, Performance Management, Data Warehouse, Business Planning, Reporting, Planning, Big Data, Information Design, Predictive Analytics, Consolidation, Disclosure Management, Sap Hana, Self-service Bi, Microsoft Excel, Power Bi, Enterprise Software, Network Solutions","Information Technology & Services","Private"
"SignUp4, LLC provides strategic event management software, technology, and services for the enterprise business event planner and travel planning marketplace. It offers Meetings Intelligence Suite, which provides meetings management solutions; Event Management Software; Travel Management Software, which streamlines the process of merging attendee travel information with event registration data via direct GDS integration; and Spend Management Software, an enterprise solution that combines workflow management, budget and planning tools, and meeting spend analytics.","computerhardware, computerhardware&software, event management software, event mobile applications, event planning tools, gds integration, meeting industry resources, online event registration, software, spend management, strategic meetings management, travel management, computer hardware development","Internet","Private Sub"
"Evolutionary Systems Pvt., Ltd. is a global Oracle platinum partner providing enterprise solutions that span Oracle cloud, fusion ERP, ERP, CRM, EPM, Taleo, Endeca, VCP, mobile applications, and custom solutions. The company offers implementation, up-gradation, project management, and Oracle training services.","oracle, enterprise solutions, demand planning, crm, scm, policy automation, analytics, business intelligence, obiee, bi apps, r12, upgrade, support services, evosys, computer hardware and software, computerhardware&software, b2b services, oracle erp cloud consulting, oracle e-business suite consulting, oracle epm - enterprise performance management cloud consulting, oracle cloud application resellers, professional services, oracle erp consulting, oracle siebel consulting, oracle hyperion consulting, oracle hcm - human capital management cloud consulting, oracle consulting, oracle database consulting, oracle cloud applications consulting, oracle fusion applications consulting, oracle channel partners, implementation services, oracle scm - supply chain management cloud consulting, value-added resellers (vars), oracle hyperion resellers, oracle database resellers, information technology, other oracle consulting, oracle taleo consulting, comp","Computer Software, Information Technology & Services","Public Sub"
"minerstat OU provides enterprise-grade mining monitoring software and remote dashboard solution for crypto mining managers and professionals. The company has created a dedicated Linux mining OS (msOS) for rig management, Windows mining GUI, and ASIC Hub for Antminer, Spondoolies, Dayun, Baikal, and DragonMint brands.","cryptocurrency, mining, mining os, remote management, mining monitor","Internet, Computer Software","Private"
"OneStream Software, LLC provides a unified corporate performance management platform that enables enterprises to simplify financial consolidation, reporting, budgeting, and forecasting for complex organizations. The company's products also include one stream XF's smart CRM platform aligns with business changes by unifying core financial consolidation, planning, data quality, financial reporting, and analytics capabilities and offers financial consolidation.","Corporate Performance Management, Cpm, Enterprise Performance Management, Epm, Financial Consolidation, Reporting, Financial Reporting, Financial Planning, Financial Data Quality, Financial Analytics, Analytics, Data Quality, Account Reconciliations, Capex Planning, Enterprise Software, Network Solutions","Computer Software, Internet","Venture Capital"
"Cloud Cruiser, Inc. provides software solutions to manage businesses. It also offers a heterogeneous cloud financial management solution that enables enterprises and service providers to optimize costs and increase profitability in public, private, and hybrid cloud environments. The company delivers a financial management solution for Hybrid IT that enables enterprises to optimize costs, and increase profitability.","Cloud financial management, Resource accounting, chargeback, Multi-tenant cloud billing, Financial analytics","Computer Software, Internet","Public Sub"
"Alliance Enterprises, Inc. develops and provides enterprise case and performance management software. The company offers Aware, records management, and analytics software for vocational rehabilitation; Summit, goals management web application and MyObjectives, team-based goals management software. It caters to state agencies and tribal nations in the United States.","Case Management Software, Analytics Software, Cloud Case Management, Goal Management Software, Enterprise Software, Network Solutions","Computer Software, Internet","Private"
"Exigis, LLC provides business process automation software and services for risk management, insurance, and trade finance. The company offers RiskWorks, a cloud-based risk management operating system (RMOS) that offers a suite of risk, insurance, and treasury solutions, and RiskWorksPS, a cloud-based RMOS for the public sector that provides risk pools and independent self-insureds with a central command-and-control platform to identify, process, monitor, and manage discreet risk and insurance data across operations.","business process automation, certificates of insurance, contingent liabilities, contract compliance, enterprise risk management, exposure data management, insurance certificate tracking, risk control, risk management information systems, risk management software, enterprise software, network solutions","Internet, Computer Software","Private"
"Audix Techno Consulting Solutions Pvt., Ltd. is an IT software quality assurance and business solution provider. It was the fastest emerging advisory company rendering comprehensive professional services which include Cyber Security Solutions, Software Quality Assurance, Application Performance Management, Audit and Risk Management Services.","Cyber Security, Software Quality Assurance, Application Performance Management, Audits, Internal Audit, GRC, Risk Management","Information Technology & Services","Private"
"TS Analytics Canada, Ltd. doing business as Triyo Software, Inc.offers an Enterprise Project Collaboration platform focused on optimizing the project journey, empowering teams to efficiently and seamlessly collaborate on projects, tasks, and MS Office documents. The company's key features include Live Dashboards, Workflow Automation, Approvals Management, Document Management, Task Management, Audit Trail, and Instant Messaging.","Workflow Automation, Dashboards, Productivity, Task Management, Regulatory Projects, Contract Management, Fintech, Regtech, Data Analytics, Data Intelligence, Process Discovery, Enterprise Tech, Recommendation Engine, Intelligence Engine","Computer Software","Venture Capital"
"NinjaCat, Inc. is a software company developing a digital marketing performance management platform. It offers services such as data collection and management, automated performance reporting and dashboards, campaign monitoring, and call tracking. It serves the automotive, franchise, healthcare, and property management industries.","Push Reporting, Data Aggregation, Call Tracking, Call Attribution, Onboarding Experts, KPI Monitoring, Budget Monitoring, Customer ROI, Data Democratization, Digital Marketing, Business Intelligence","Internet, Computer Software","Venture Capital"
"Computer SI Corp. is a  provider of Enterprise Document Management and Business Process Automation software solutions, custom development, and integration services. The company helps transform the way to utilize business information, allowing the employees to maximize productivity and perform the best work in support of the clients.","Net Application Development, Advertising, Business Process Automation, Content Services, Custom Software, Enterprise Content Management, Ephesoft Automated Capture Partner, Intelligent Capture Software, K2 Bpm Gold Partner, Marketing, Microsoft Gold Partner, Onbase Diamond Partner, Robotic Process Automation, Rpa, Sharepoint, System Integration, Uipath, Workflow and Business Process Automation","Computer Software","Private"
